INFO:root:--------------------
INFO:root:batch_size=2250
INFO:root:cluster=60
INFO:root:step = 0, Mean accuracy: 51.50
INFO:root:step = 1, Mean accuracy: 55.88
INFO:root:step = 2, Mean accuracy: 57.05
INFO:root:step = 3, Mean accuracy: 57.81
INFO:root:step = 4, Mean accuracy: 58.08
INFO:root:step = 5, Mean accuracy: 58.52
INFO:root:step = 6, Mean accuracy: 58.84
INFO:root:step = 7, Mean accuracy: 59.15
INFO:root:step = 8, Mean accuracy: 59.46
INFO:root:step = 9, Mean accuracy: 59.42
INFO:root:step = 10, Mean accuracy: 59.55
INFO:root:step = 11, Mean accuracy: 59.64
INFO:root:step = 12, Mean accuracy: 59.55
INFO:root:step = 13, Mean accuracy: 59.69
INFO:root:step = 14, Mean accuracy: 59.69
INFO:root:step = 15, Mean accuracy: 59.64
INFO:root:step = 16, Mean accuracy: 59.73
INFO:root:step = 17, Mean accuracy: 59.73
INFO:root:step = 18, Mean accuracy: 59.73
INFO:root:step = 19, Mean accuracy: 59.69
INFO:root:step = 20, Mean accuracy: 59.78
INFO:root:step = 21, Mean accuracy: 59.78
INFO:root:step = 22, Mean accuracy: 59.96
INFO:root:step = 23, Mean accuracy: 59.96
INFO:root:step = 24, Mean accuracy: 60.09
INFO:root:step = 25, Mean accuracy: 60.13
INFO:root:step = 26, Mean accuracy: 60.31
INFO:root:step = 27, Mean accuracy: 60.09
INFO:root:step = 28, Mean accuracy: 60.13
INFO:root:step = 29, Mean accuracy: 60.09
INFO:root:step = 30, Mean accuracy: 60.04
INFO:root:step = 31, Mean accuracy: 60.04
INFO:root:step = 32, Mean accuracy: 60.04
INFO:root:step = 33, Mean accuracy: 60.04
INFO:root:step = 34, Mean accuracy: 60.13
INFO:root:step = 35, Mean accuracy: 60.04
INFO:root:step = 36, Mean accuracy: 60.04
INFO:root:step = 37, Mean accuracy: 60.04
INFO:root:step = 38, Mean accuracy: 60.04
INFO:root:step = 39, Mean accuracy: 60.04
INFO:root:step = 40, Mean accuracy: 60.00
INFO:root:step = 41, Mean accuracy: 60.04
INFO:root:step = 42, Mean accuracy: 60.00
INFO:root:step = 43, Mean accuracy: 59.96
INFO:root:step = 44, Mean accuracy: 59.96
INFO:root:step = 45, Mean accuracy: 60.00
INFO:root:step = 46, Mean accuracy: 60.00
INFO:root:step = 47, Mean accuracy: 60.00
INFO:root:step = 48, Mean accuracy: 60.00
INFO:root:step = 49, Mean accuracy: 60.04
INFO:root:step = 50, Mean accuracy: 60.09
